i15,e01,c2,p35,l3,4378
i38,e10,c1,p29,l4,2487
i38,e11,c1,p10,l2,3029
i38,e10,c1,p15,l4,3897
i38,e10,c1,p12,l4,3669
i38,e10,c1,p16,l4,2819
i14,e12,c5,p03,l3,2644
i38,e10,c1,p30,l4,1777
i38,e06,c1,p17,l3,2034
i06,e10,c3,p18,l3,3797
i30,e01,c1,p02,l3,1721
i05,e01,c1,p35,l3,1743
i38,e11,c1,p29,l2,1796
i03,e08,c5,p15,l3,1748
i03,e04,c5,p04,l3,1740
i02,e04,c1,p29,l3,1737
i13,e08,c5,p17,l3,1763
i38,e10,c1,p21,l1,32
i43,e01,c1,p10,l3,1748
i38,e08,c1,p07,l2,434
i39,e04,c5,p05,l3,1746
i02,e08,c1,p24,l3,1801
i05,e06,c1,p25,l3,1720
i05,e03,c1,p03,l3,1722
i46,e09,c4,p19,l3,1724
i17,e01,c5,p19,l3,1794
i38,e08,c4,p19,l2,2
i02,e09,c1,p29,l3,1752
i34,e08,c5,p23,l3,1736
i05,e06,c1,p31,l3,1720
i23,e03,c5,p07,l3,1724
i05,e01,c1,p17,l3,1720
i06,e10,c5,p08,l2,10
i07,e04,c5,p03,l3,1720
i27,e04,c5,p21,l3,1724
i14,e04,c5,p10,l3,1727
i42,e02,c5,p19,l3,1721
i41,e04,c1,p16,l3,1723
i16,e01,c5,p13,l3,1720
i38,e10,c1,p09,l1,11
i21,e12,c1,p01,l3,1721
i21,e03,c1,p15,l3,1722
i27,e09,c5,p16,l3,1720
i07,e08,c5,p11,l3,1731
i14,e12,c5,p10,l3,1720
i41,e01,c1,p32,l3,1721
i41,e11,c1,p10,l3,1720
i94,e08,c1,p35,l3,1723
i14,e05,c5,p18,l3,3440
i67,e01,c5,p24,l3,1720
i27,e04,c5,p10,l3,1720
i14,e05,c5,p21,l3,1723
i02,e11,c1,p17,l3,1720
i01,e04,c1,p32,l3,1720
i41,e04,c1,p02,l3,1720
i14,e08,c5,p20,l3,1721
i06,e05,c5,p07,l1,1
i06,e08,c3,p03,l2,1
i08,e09,c1,p10,l3,1720
i14,e11,c5,p13,l3,1720
i06,e10,c5,p17,l3,35678
i38,e08,c1,p11,l2,305
i02,e04,c1,p05,l3,1802
i38,e10,c1,p05,l2,105
i38,e01,c1,p04,l3,1748
i38,e08,c1,p25,l2,17
i06,e10,c5,p25,l2,26
i02,e01,c1,p35,l3,1785
i07,e09,c5,p10,l3,1724
i06,e08,c5,p07,l2,2163
i06,e04,c5,p15,l1,182
i38,e10,c1,p03,l2,133
i30,e09,c1,p20,l3,1720
i17,e11,c5,p13,l3,1774
i38,e04,c1,p05,l1,82
i46,e08,c4,p35,l3,1831
i06,e04,c5,p25,l1,78
i06,e01,c5,p31,l3,1723
i34,e04,c5,p35,l3,1789
i17,e01,c5,p16,l3,1740
i05,e06,c1,p03,l3,1726
i06,e10,c5,p07,l2,53
i02,e04,c1,p28,l3,1726
i42,e05,c3,p02,l3,1751
i05,e01,c1,p19,l3,1742
i38,e10,c4,p05,l3,1787
i39,e04,c5,p06,l3,1729
i41,e11,c1,p11,l3,1729
